Module,Route,Loads,CRUD,Search,Filters,Pagination,Validation,EmptyState,Permissions,UX,Score,Notes
themes,/themes/packages,,,,,,,,,,,
themes,/themes,,,,,,,,,,,
vehicles,/vehicles/[id],,,,,,,,,,,
vehicles,/vehicles/new,,,,,,,,,,,
vehicles,/vehicles,,,,,,,,,,,
vendors,/vendors/[id],,,,,,,,,,,
vendors,/vendors/categories,,,,,,,,,,,
vendors,/vendors/contracts,,,,,,,,,,,
vendors,/vendors/new,,,,,,,,,,,
vendors,/vendors,,,,,,,,,,,
vendors,/vendors/work-orders,,,,,,,,,,,
visitors,/visitors/[id],,,,,,,,,,,
visitors,/visitors/new,,,,,,,,,,,
visitors,/visitors,,,,,,,,,,,
workflows,/workflows,,,,,,,,,,,
